Time,Ballooned memory for R02,Consumed for R02,Overhead consumed for R02,Host consumed % for R02,
2022-03-25T00:00:00.000Z,0,2530431740,11683525,52,61
2022-03-26T00:00:00.000Z,0,2530514180,11670967,52,61
2022-03-27T00:00:00.000Z,0,2530832380,11655845,52,62
2022-03-28T00:00:00.000Z,0,2531138560,11649497,52,62
2022-03-29T00:00:00.000Z,0,2531221760,11647697,52,63
2022-03-30T00:00:00.000Z,0,2531641090,11645572,52,63
2022-03-31T00:00:00.000Z,0,2529333250,11649883,52,59
2022-04-01T00:00:00.000Z,0,2538074880,11653791,52,77
2022-04-02T00:00:00.000Z,0,2441459970,11374248,50,76
2022-04-03T00:00:00.000Z,0,2432943620,11354150,50,59
2022-04-04T00:00:00.000Z,0,2433305600,11353259,50,59
2022-04-05T00:00:00.000Z,0,2433724160,11354232,50,6
2022-04-06T00:00:00.000Z,0,2434002430,11356582,50,61
2022-04-07T00:00:00.000Z,0,2328516610,11144794,48,42
2022-04-08T00:00:00.000Z,0,2432550140,11383142,50,58
2022-04-09T00:00:00.000Z,0,2433358340,11365916,50,59
2022-04-10T00:00:00.000Z,0,2432865020,11362324,50,58
2022-04-11T00:00:00.000Z,0,2432612350,11359945,50,58
2022-04-12T00:00:00.000Z,,,,,
