Time,Read rate for V03_n2,Usage for V03_n2,Write rate for V03_n2
2022-03-29T00:00:00.000Z,7831,20687,12856
2022-03-30T00:00:00.000Z,3340,7796,4455
2022-03-31T00:00:00.000Z,3083,8073,4990
2022-04-01T00:00:00.000Z,2233,5171,2936
2022-04-02T00:00:00.000Z,4150,11993,7842
2022-04-03T00:00:00.000Z,2672,6846,4173
2022-04-04T00:00:00.000Z,2170,5294,3123
2022-04-05T00:00:00.000Z,5327,14495,9167
2022-04-06T00:00:00.000Z,2460,6712,4251
2022-04-07T00:00:00.000Z,7850,21234,13383
2022-04-08T00:00:00.000Z,3516,8979,5463
2022-04-09T00:00:00.000Z,2631,6704,4072
2022-04-10T00:00:00.000Z,1774,4343,2569
2022-04-11T00:00:00.000Z,4605,12823,8217
2022-04-12T00:00:00.000Z,5542,15380,9838
2022-04-13T00:00:00.000Z,,,
