Time,Usage in MHz for V02,Usage for V02,
2022-04-08T12:00:00.000Z,49781,27,65
2022-04-08T14:00:00.000Z,48112,26,72
2022-04-08T16:00:00.000Z,56222,31,23
2022-04-08T18:00:00.000Z,56206,31,22
2022-04-08T20:00:00.000Z,54448,30,24
2022-04-08T22:00:00.000Z,57268,31,81
2022-04-09T00:00:00.000Z,57034,31,68
2022-04-09T02:00:00.000Z,50017,27,78
2022-04-09T04:00:00.000Z,51946,28,85
2022-04-09T06:00:00.000Z,48786,27,1
2022-04-09T08:00:00.000Z,46350,25,75
2022-04-09T10:00:00.000Z,44773,24,87
2022-04-09T12:00:00.000Z,41857,23,25
2022-04-09T14:00:00.000Z,42094,23,38
2022-04-09T16:00:00.000Z,50702,28,16
2022-04-09T18:00:00.000Z,50511,28,6
2022-04-09T20:00:00.000Z,48095,26,71
2022-04-09T22:00:00.000Z,52981,29,43
2022-04-10T00:00:00.000Z,49727,27,62
2022-04-10T02:00:00.000Z,45010,25,
2022-04-10T04:00:00.000Z,45323,25,17
2022-04-10T06:00:00.000Z,41227,22,9
2022-04-10T08:00:00.000Z,40711,22,61
2022-04-10T10:00:00.000Z,40286,22,38
2022-04-10T12:00:00.000Z,39647,22,2
2022-04-10T14:00:00.000Z,40879,22,71
2022-04-10T16:00:00.000Z,44660,24,81
2022-04-10T18:00:00.000Z,44994,24,99
2022-04-10T20:00:00.000Z,45184,25,1
2022-04-10T22:00:00.000Z,50878,28,26
2022-04-11T00:00:00.000Z,48889,27,16
2022-04-11T02:00:00.000Z,49348,27,41
2022-04-11T04:00:00.000Z,49250,27,36
2022-04-11T06:00:00.000Z,62057,34,47
2022-04-11T08:00:00.000Z,55662,30,92
2022-04-11T10:00:00.000Z,49467,27,48
2022-04-11T12:00:00.000Z,48132,26,74
2022-04-11T14:00:00.000Z,50959,28,31
2022-04-11T16:00:00.000Z,54781,30,43
2022-04-11T18:00:00.000Z,53094,29,49
2022-04-11T20:00:00.000Z,55182,30,65
2022-04-11T22:00:00.000Z,53781,29,87
2022-04-12T00:00:00.000Z,53018,29,45
2022-04-12T02:00:00.000Z,44920,24,95
2022-04-12T04:00:00.000Z,49442,27,46
2022-04-12T06:00:00.000Z,55248,30,69
2022-04-12T08:00:00.000Z,51964,28,86
2022-04-12T10:00:00.000Z,51928,28,84
2022-04-12T12:00:00.000Z,47258,26,25
2022-04-12T14:00:00.000Z,42720,23,73
2022-04-12T16:00:00.000Z,43955,24,41
2022-04-12T18:00:00.000Z,45456,25,25
2022-04-12T20:00:00.000Z,49159,27,31
2022-04-12T22:00:00.000Z,51329,28,51
2022-04-13T00:00:00.000Z,52929,29,4
2022-04-13T02:00:00.000Z,46803,26,
2022-04-13T04:00:00.000Z,49478,27,48
2022-04-13T06:00:00.000Z,54998,30,55
2022-04-13T08:00:00.000Z,,,
