Time,Data receive rate for R04_n1,Data receive rate for R04_n1 v0,Data receive rate for R04_n1 v1,Data receive rate for R04_n1 v2,Data receive rate for R04_n1 v3,Data receive rate for R04_n1 v4,Data receive rate for R04_n1 v5,Data transmit rate for R04_n1,Data transmit rate for R04_n1 v0,Data transmit rate for R04_n1 v1,Data transmit rate for R04_n1 v2,Data transmit rate for R04_n1 v3,Data transmit rate for R04_n1 v4,Data transmit rate for R04_n1 v5,Usage for R04_n1,Usage for R04_n1 v0,Usage for R04_n1 v1,Usage for R04_n1 v2,Usage for R04_n1 v3,Usage for R04_n1 v4,Usage for R04_n1 v5
2021-07-23T00:00:00.000Z,3023,1062,1099,823,0,23,13,838,266,549,0,0,21,1,3862,1329,1648,823,0,45,14
2021-07-24T00:00:00.000Z,1251,348,712,132,0,23,32,699,219,457,0,0,21,1,1950,568,1170,132,0,44,33
2021-07-25T00:00:00.000Z,3619,364,3074,155,0,24,0,703,230,451,0,0,21,1,4323,595,3524,155,0,45,1
2021-07-26T00:00:00.000Z,4647,1912,1029,1678,0,25,0,821,260,537,0,0,22,1,5468,2173,1566,1678,0,47,1
2021-07-27T00:00:00.000Z,5382,2355,881,2119,0,24,0,828,263,542,0,0,22,1,6212,2619,1424,2119,0,47,1
2021-07-28T00:00:00.000Z,3233,1357,733,1117,0,23,0,831,245,563,0,0,21,1,4065,1603,1297,1117,0,45,1
2021-07-29T00:00:00.000Z,3444,1271,1169,978,0,24,0,937,268,646,0,0,21,1,4382,1539,1816,978,0,45,1
2021-07-30T00:00:00.000Z,3680,1169,1521,925,0,23,40,863,256,584,0,0,21,1,4543,1425,2105,925,0,44,41
2021-07-31T00:00:00.000Z,1841,437,1106,225,0,23,48,729,229,477,0,0,21,1,2570,666,1583,225,0,44,49
2021-08-01T00:00:00.000Z,3432,452,2680,225,0,24,49,749,233,493,0,0,22,1,4182,685,3173,225,0,46,50
2021-08-02T00:00:00.000Z,3421,1437,760,1186,0,23,12,912,263,626,0,0,21,1,4334,1701,1386,1186,0,45,13
2021-08-03T00:00:00.000Z,3949,1397,1218,1308,0,24,0,655,71,562,0,0,21,1,4605,1468,1780,1308,0,45,1
2021-08-04T00:00:00.000Z,2902,1283,608,985,0,24,0,943,342,574,0,0,25,1,3846,1625,1182,985,0,50,1
2021-08-05T00:00:00.000Z,3495,1247,1248,974,0,23,0,1030,350,657,0,0,21,1,4525,1598,1905,974,0,45,1
2021-08-06T00:00:00.000Z,2572,1079,630,836,0,23,0,830,239,568,0,0,21,1,3403,1319,1199,836,0,45,1
2021-08-07T00:00:00.000Z,1405,365,836,145,0,23,33,726,224,479,0,0,21,1,2132,590,1316,145,0,45,34
2021-08-08T00:00:00.000Z,1829,369,1213,160,0,23,60,679,227,429,0,0,21,1,2508,597,1643,160,0,44,61
2021-08-09T00:00:00.000Z,3069,1184,909,949,0,23,0,820,243,554,0,0,21,1,3890,1428,1464,949,0,45,1
2021-08-10T00:00:00.000Z,2809,1156,679,923,0,23,25,827,250,554,0,0,21,1,3637,1407,1233,923,0,44,26
2021-08-11T00:00:00.000Z,2745,1126,706,859,0,23,28,827,273,531,0,0,21,1,3573,1400,1237,859,0,44,29
2021-08-12T00:00:00.000Z,2346,1035,453,832,0,24,0,816,208,584,0,0,22,1,3162,1244,1037,832,0,46,1
2021-08-13T00:00:00.000Z,2448,998,663,751,0,23,10,807,268,516,0,0,21,1,3256,1266,1180,751,0,45,11
2021-08-14T00:00:00.000Z,1116,327,615,148,0,23,0,638,178,437,0,0,21,1,1754,506,1053,148,0,45,1
2021-08-15T00:00:00.000Z,1943,387,1372,158,0,23,0,704,230,451,0,0,21,1,2647,617,1823,158,0,44,1
2021-08-16T00:00:00.000Z,3501,1245,1221,1008,0,24,0,817,264,529,0,0,21,1,4319,1510,1751,1008,0,46,1
2021-08-17T00:00:00.000Z,8924,4048,1024,3824,0,23,3,818,245,550,0,0,21,1,9742,4294,1574,3824,0,44,4
2021-08-18T00:00:00.000Z,3376,1127,1319,871,0,24,33,1122,268,546,0,0,21,285,4499,1395,1865,871,0,46,318
2021-08-19T00:00:00.000Z,2897,1049,1007,815,0,24,0,945,239,683,0,0,21,1,3843,1288,1691,815,0,46,1
2021-08-20T00:00:00.000Z,2989,956,1276,730,0,23,0,769,245,501,0,0,21,1,3758,1201,1778,730,0,45,1
2021-08-21T00:00:00.000Z,1717,357,1187,146,0,23,1,687,215,449,0,0,21,1,2404,573,1636,146,0,44,2
