Time,Data receive rate for S_n1,Data transmit rate for S_n1,Usage for S_n1
2022-04-10T16:00:00.000Z,611,585,1196
2022-04-10T18:00:00.000Z,2610,5307,7918
2022-04-10T20:00:00.000Z,2274,12088,14363
2022-04-10T22:00:00.000Z,2711,14943,17655
2022-04-11T00:00:00.000Z,1937,6816,8753
2022-04-11T02:00:00.000Z,258,318,576
2022-04-11T04:00:00.000Z,1186,1360,2547
2022-04-11T06:00:00.000Z,6603,8507,15111
2022-04-11T08:00:00.000Z,9081,13902,22984
2022-04-11T10:00:00.000Z,7855,11557,19413
2022-04-11T12:00:00.000Z,7006,11309,18315
2022-04-11T14:00:00.000Z,2247,81536,83784
2022-04-11T16:00:00.000Z,1414,23463,24878
2022-04-11T18:00:00.000Z,17704,34359,52063
2022-04-11T20:00:00.000Z,2769,7678,10448
2022-04-11T22:00:00.000Z,3245,52137,55382
2022-04-12T00:00:00.000Z,740,24767,25507
2022-04-12T02:00:00.000Z,282,323,605
2022-04-12T04:00:00.000Z,1140,1343,2484
2022-04-12T06:00:00.000Z,6625,10113,16739
2022-04-12T08:00:00.000Z,8598,10966,19564
2022-04-12T10:00:00.000Z,8279,13216,21496
2022-04-12T12:00:00.000Z,6807,10080,16888
2022-04-12T14:00:00.000Z,2289,94520,96810
2022-04-12T16:00:00.000Z,1371,12366,13738
2022-04-12T18:00:00.000Z,4877,8016,12894
2022-04-12T20:00:00.000Z,3143,4460,7604
2022-04-12T22:00:00.000Z,5774,18269,24043
2022-04-13T00:00:00.000Z,1022,15912,16935
2022-04-13T02:00:00.000Z,12408,12645,25054
2022-04-13T04:00:00.000Z,34711,35168,69879
2022-04-13T06:00:00.000Z,6455,7853,14309
2022-04-13T08:00:00.000Z,,,
2022-04-13T10:00:00.000Z,,,
