Time,Read rate for S_n1,Write rate for S_n1,Usage for S_n1
2022-01-06T00:00:00.000Z,9632,26485,36118
2022-01-07T00:00:00.000Z,8602,13817,22420
2022-01-08T00:00:00.000Z,9001,11308,20310
2022-01-09T00:00:00.000Z,17496,14476,31973
2022-01-10T00:00:00.000Z,6973,13557,20531
2022-01-11T00:00:00.000Z,6481,13404,19886
2022-01-12T00:00:00.000Z,9904,14327,24232
2022-01-13T00:00:00.000Z,13361,13701,27063
2022-01-14T00:00:00.000Z,9333,13518,22852
2022-01-15T00:00:00.000Z,7884,12172,20056
2022-01-16T00:00:00.000Z,11738,11948,23687
2022-01-17T00:00:00.000Z,8839,12651,21490
2022-01-18T00:00:00.000Z,9686,15601,25287
2022-01-19T00:00:00.000Z,11113,14486,25599
2022-01-20T00:00:00.000Z,8164,12335,20499
2022-01-21T00:00:00.000Z,10660,14718,25378
2022-01-22T00:00:00.000Z,9754,12325,22080
2022-01-23T00:00:00.000Z,14055,12676,26731
2022-01-24T00:00:00.000Z,7406,13574,20980
2022-01-25T00:00:00.000Z,8033,16564,24597
2022-01-26T00:00:00.000Z,10796,13132,23928
2022-01-27T00:00:00.000Z,6488,14144,20632
2022-01-28T00:00:00.000Z,12362,14282,26645
2022-01-29T00:00:00.000Z,9906,12910,22817
2022-01-30T00:00:00.000Z,10261,14923,25185
2022-01-31T00:00:00.000Z,8381,15251,23633
2022-02-01T00:00:00.000Z,10962,15536,26500
2022-02-02T00:00:00.000Z,12143,14140,26284
2022-02-03T00:00:00.000Z,11059,24781,35840
2022-02-04T00:00:00.000Z,11164,12253,23417
2022-02-05T00:00:00.000Z,8578,11693,20272
2022-02-06T00:00:00.000Z,12339,14006,26345
2022-02-07T00:00:00.000Z,7018,13760,20778
2022-02-08T00:00:00.000Z,10764,22815,33579
2022-02-09T00:00:00.000Z,13628,14611,28240
2022-02-10T00:00:00.000Z,13710,14335,28046
2022-02-11T00:00:00.000Z,12803,12649,25453
2022-02-12T00:00:00.000Z,10885,11790,22676
2022-02-13T00:00:00.000Z,12522,13405,25928
2022-02-14T00:00:00.000Z,10939,11967,22906
2022-02-15T00:00:00.000Z,14115,16131,30246
2022-02-16T00:00:00.000Z,9240,13077,22317
2022-02-17T00:00:00.000Z,7053,14426,21479
2022-02-18T00:00:00.000Z,9876,13367,23243
2022-02-19T00:00:00.000Z,10436,12211,22649
2022-02-20T00:00:00.000Z,11920,13999,25920
2022-02-21T00:00:00.000Z,11783,14901,26685
2022-02-22T00:00:00.000Z,8470,12622,21093
2022-02-23T00:00:00.000Z,15368,23350,38719
2022-02-24T00:00:00.000Z,14674,16263,30937
2022-02-25T00:00:00.000Z,11362,11900,23263
2022-02-26T00:00:00.000Z,15340,11767,27108
2022-02-27T00:00:00.000Z,9806,12404,22211
2022-02-28T00:00:00.000Z,6566,11981,18548
2022-03-01T00:00:00.000Z,89294,16725,106019
2022-03-02T00:00:00.000Z,35677,27814,63492
2022-03-03T00:00:00.000Z,29020,9442,38463
2022-03-04T00:00:00.000Z,10990,7768,18759
2022-03-05T00:00:00.000Z,8110,4490,12602
2022-03-06T00:00:00.000Z,3458,4412,7871
2022-03-07T00:00:00.000Z,32091,6435,38527
2022-03-08T00:00:00.000Z,2843,5444,8288
2022-03-09T00:00:00.000Z,5305,6293,11599
2022-03-10T00:00:00.000Z,9905,6392,16298
2022-03-11T00:00:00.000Z,12911,12767,25679
2022-03-12T00:00:00.000Z,10332,4492,14824
2022-03-13T00:00:00.000Z,10856,6803,17660
2022-03-14T00:00:00.000Z,9838,12306,22145
2022-03-15T00:00:00.000Z,16245,5285,21531
2022-03-16T00:00:00.000Z,7436,5902,13338
2022-03-17T00:00:00.000Z,7160,8029,15189
2022-03-18T00:00:00.000Z,6921,5893,12815
2022-03-19T00:00:00.000Z,3978,3914,7892
2022-03-20T00:00:00.000Z,8265,5059,13324
2022-03-21T00:00:00.000Z,5782,5502,11285
2022-03-22T00:00:00.000Z,7512,5564,13077
2022-03-23T00:00:00.000Z,8022,6753,14776
2022-03-24T00:00:00.000Z,8086,5220,13306
2022-03-25T00:00:00.000Z,3725,5798,9524
