Time,Read rate for V03_n3,Usage for V03_n3,Write rate for V03_n3
2022-03-29T00:00:00.000Z,6862,17780,10917
2022-03-30T00:00:00.000Z,4663,10823,6159
2022-03-31T00:00:00.000Z,4309,11243,6933
2022-04-01T00:00:00.000Z,5764,14873,9108
2022-04-02T00:00:00.000Z,2252,4523,2271
2022-04-03T00:00:00.000Z,1584,3003,1418
2022-04-04T00:00:00.000Z,1852,3540,1687
2022-04-05T00:00:00.000Z,1738,3758,2020
2022-04-06T00:00:00.000Z,3644,8848,5203
2022-04-07T00:00:00.000Z,1719,3398,1679
2022-04-08T00:00:00.000Z,4393,9386,4992
2022-04-09T00:00:00.000Z,3063,7448,4384
2022-04-10T00:00:00.000Z,1396,2628,1231
2022-04-11T00:00:00.000Z,2090,4445,2354
2022-04-12T00:00:00.000Z,2065,4149,2084
2022-04-13T00:00:00.000Z,,,
